Cairo,Cairo,0
Cairo,Lagos,3923
Cairo,Johannesburg,6273
Cairo,Cape Town,7249
Cairo,Toronto,9222
Cairo,New York,9035
Cairo,Los Angeles,12218
Cairo,Chicago,9874
Cairo,Miami,10452
Cairo,Buenos Aires,11829
Cairo,Sao Paulo,10234
Cairo,Rio de Janeiro,9901
Cairo,Mexico City,12386
Cairo,Lima,12442
Cairo,Mumbai,4364
Cairo,Delhi,4436
Cairo,Tokyo,9583
Cairo,Seoul,8498
Cairo,Jakarta,8998
Cairo,Manila,9191
Cairo,Taipei,8687
Cairo,Bangkok,7280
Cairo,Ho Chi Minh City,8021
Cairo,Shanghai,8367
Cairo,Beijing,7555
Cairo,Guangzhou,8030
Cairo,Tianjin,7652
Cairo,Chengdu,6863
Cairo,Paris,3215
Cairo,Berlin,2896
Cairo,Milan,2576
Cairo,Moscow,2907
Cairo,London,3516
Cairo,Tehran,1986
Cairo,Baghdad,1301
Cairo,Lahore,4100
Cairo,Istanbul,1237
Lagos,Cairo,3923
Lagos,Lagos,0
Lagos,Johannesburg,4507
Lagos,Cape Town,4767
Lagos,Toronto,8945
Lagos,New York,8491
Lagos,Los Angeles,12432
Lagos,Chicago,9627
Lagos,Miami,9072
Lagos,Buenos Aires,7924
Lagos,Sao Paulo,6381
Lagos,Rio de Janeiro,6034
Lagos,Mexico City,11085
Lagos,Lima,9141
Lagos,Mumbai,7632
Lagos,Delhi,8099
Lagos,Tokyo,13499
Lagos,Seoul,12420
Lagos,Jakarta,11581
Lagos,Manila,12766
Lagos,Taipei,12489
Lagos,Bangkok,10614
Lagos,Ho Chi Minh City,11321
Lagos,Shanghai,12246
Lagos,Beijing,11475
Lagos,Guangzhou,11742
Lagos,Tianjin,11571
Lagos,Chengdu,10667
Lagos,Paris,4723
Lagos,Berlin,5211
Lagos,Milan,4380
Lagos,Moscow,6266
Lagos,London,5027
Lagos,Tehran,5874
Lagos,Baghdad,5180
Lagos,Lahore,7840
Lagos,Istanbul,4610
Johannesburg,Cairo,6273
Johannesburg,Lagos,4507
Johannesburg,Johannesburg,0
Johannesburg,Cape Town,1263
Johannesburg,Toronto,13357
Johannesburg,New York,12858
Johannesburg,Los Angeles,16698
Johannesburg,Chicago,14002
Johannesburg,Miami,12967
Johannesburg,Buenos Aires,8099
Johannesburg,Sao Paulo,7440
Johannesburg,Rio de Janeiro,7133
Johannesburg,Mexico City,14606
Johannesburg,Lima,10896
Johannesburg,Mumbai,6993
Johannesburg,Delhi,8056
Johannesburg,Tokyo,13562
Johannesburg,Seoul,12506
Johannesburg,Jakarta,8600
Johannesburg,Manila,11020
Johannesburg,Taipei,11548
Johannesburg,Bangkok,9011
Johannesburg,Ho Chi Minh City,9437
Johannesburg,Shanghai,11798
Johannesburg,Beijing,11723
Johannesburg,Guangzhou,10691
Johannesburg,Tianjin,11753
Johannesburg,Chengdu,10269
Johannesburg,Paris,8741
Johannesburg,Berlin,8881
Johannesburg,Milan,8206
Johannesburg,Moscow,9171
Johannesburg,London,9083
Johannesburg,Tehran,7318
Johannesburg,Baghdad,6852
Johannesburg,Lahore,8096
Johannesburg,Istanbul,7485
Cape Town,Cairo,7249
Cape Town,Lagos,4767
Cape Town,Johannesburg,1263
Cape Town,Cape Town,0
Cape Town,Toronto,13120
Cape Town,New York,12583
Cape Town,Los Angeles,16074
Cape Town,Chicago,13687
Cape Town,Miami,12338
Cape Town,Buenos Aires,6879
Cape Town,Sao Paulo,6354
Cape Town,Rio de Janeiro,6071
Cape Town,Mexico City,13720
Cape Town,Lima,9773
Cape Town,Mumbai,8254
Cape Town,Delhi,9320
Cape Town,Tokyo,14756
Cape Town,Seoul,13734
Cape Town,Jakarta,9491
Cape Town,Manila,12068
Cape Town,Taipei,12699
Cape Town,Bangkok,10160
Cape Town,Ho Chi Minh City,10528
Cape Town,Shanghai,12997
Cape Town,Beijing,12974
Cape Town,Guangzhou,11856
Cape Town,Tianjin,13001
Cape Town,Chengdu,11505
Cape Town,Paris,9355
Cape Town,Berlin,9638
Cape Town,Milan,8889
Cape Town,Moscow,10151
Cape Town,London,9685
Cape Town,Tehran,8479
